service_code,service_name,metadata,type,group
56e92c79601827803f0002d2,Abandoned Vehicle,Yes,batch,Other
56e929f5601827803f00010a,Light On During Day,Yes,batch,Street Light
56e92b32601827803f0001a6,Curb,Yes,batch,Streets
56e92944601827803f000053,All Lights Out,No,batch,Traffic Signal
56e92ad5601827803f00017b,Storm Drain,Yes,batch,Storm Water
56e929e0601827803f0000e7,Light Out,Yes,batch,Street Light
56e929ba601827803f0000c1,Flashing Red,No,batch,Traffic Signal
56e92d0c601827803f000305,Dead Animal,Yes,batch,Other
56e92b71601827803f000220,Damaged Guardrail,No,batch,Streets
56e9dfa860182701ee000319,Street Flooded,No,batch,Storm Water
56e929ac601827803f00009e,Light Out,Yes,batch,Traffic Signal
56e92d5d601827803f00032e,Graffiti,Yes,batch,Other
56e92b5c601827803f0001fa,Faded striping,Yes,batch,Streets
56e9298e601827803f000076,Signal Facing Wrong Direction,Yes,batch,Traffic Signal
56e92b83601827803f000243,Parking Meter,Yes,batch,Streets
56e92dc1601827803f00035c,Litter - Open Space/Canyon/Park,Yes,batch,Other
56f3be6438f0a913eb000001,Litter - Street/Sidewalk,Yes,batch,Other
56e92b94601827803f000269,Pothole,No,batch,Streets
56e92ddc601827803f000387,Tree Hazard,Yes,batch,Other
56e92a0c601827803f000130,Sidewalk,Yes,batch,Streets
56e92bab601827803f00028c,Street Sweeping,No,batch,Streets
56e92bcd601827803f0002af,Traffic Sign,Yes,batch,Streets
56e92de9601827803f0003aa,Other,No,batch,Other
